GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,JbossDatasourceValidation,4,82,2,2,2,14,2,6,0,5
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,AppBuilderDeployableContainer,0,49,0,0,0,14,0,10,0,10
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppDeployableContainer,2,420,2,6,1,59,2,25,0,23
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,AppBuilderDeployable,0,22,0,0,0,5,0,3,0,3
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppDeploymentResult,0,6,0,0,0,2,0,1,0,1
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppServerDeployable,0,23,0,0,0,6,0,4,0,4
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,ComponentManagerDeployable,0,21,0,0,0,5,0,3,0,3
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,AbstractEntandoAppDeployable,0,52,0,0,0,11,0,8,0,8
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppController,9,91,0,0,4,15,2,4,2,4
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppDeployableContainer.EntandoAppDatabasePopulator,0,30,0,0,0,6,0,4,0,4
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,ComponentManagerDeployableContainer,21,226,0,0,0,43,2,22,2,22
