GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultDeploymentClient,52,69,3,1,8,13,4,4,2,4
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSimpleK8SClient,0,110,0,16,0,27,0,17,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesClientProducer,22,0,0,0,3,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSecretClient,61,136,0,0,13,23,1,8,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPodClient,24,170,0,6,4,25,2,14,2,11
Entando K8S Operator Common Library,org.entando.kubernetes.client,PodWatcher,5,84,2,6,2,23,2,10,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,SerializedEntandoResource,6,21,0,2,3,7,2,5,2,4
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceAccountClient,32,121,0,4,9,19,1,10,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,PatchableClient,20,30,1,1,4,4,2,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,EntandoJackson2Provider,0,7,0,0,0,3,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPersistentVolumeClaimClient,0,57,0,2,0,11,0,4,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DoneableCustomResource,22,0,0,0,8,0,3,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultKeycloakClient,99,618,20,18,22,158,18,28,4,23
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultEntandoResourceClient,154,594,3,11,26,114,11,30,8,26
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceClient,51,45,2,0,6,7,2,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesExceptionProcessor,133,12,8,2,14,3,8,1,3,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultIngressClient,48,124,1,1,6,24,4,7,3,7
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesRestInterceptor,203,0,14,0,34,0,14,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,EntandoExecListener,27,50,1,1,10,15,3,4,2,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,CreateExternalServiceCommand,30,293,6,10,7,68,6,11,1,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,DeployCommand,10,345,3,13,2,68,3,19,0,14
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,IngressingDeployCommand,23,65,2,2,5,13,2,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.database,DatabaseDeployable,13,144,1,2,2,29,1,14,0,13
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.database,ExternalDatabaseDeployment,0,88,0,0,0,14,0,10,0,10
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.database,DatabaseDeploymentResult,6,50,0,0,2,14,2,9,2,9
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.database,DatabaseContainer,0,54,0,0,0,14,0,8,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.spibase,IngressingDeployableBase,0,29,0,0,0,9,0,3,0,3
