GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,URLManager,168,159,24,16,36,40,25,10,5,10
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,PageURL,4,8,0,0,2,3,1,2,1,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoDataByLang,5,221,10,10,2,43,10,19,0,19
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoData,61,51,12,0,9,14,8,8,2,8
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoMetaTag,29,46,0,0,1,20,1,10,1,10
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoPageRequest,50,10,6,0,11,5,7,3,4,3
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page,SeoPageController,32,280,8,20,7,52,9,15,1,9
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagDOM,12,86,0,2,3,23,0,5,0,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagCatalog,11,42,1,1,3,14,1,5,0,5
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,Metatag,12,41,0,0,4,13,4,8,4,8
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageService,109,747,14,38,18,183,13,32,0,19
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,PageMetatag,71,149,11,9,12,48,10,16,1,15
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDAO,47,101,2,6,8,22,2,6,0,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageExtraConfigDOM,99,682,13,57,30,162,14,33,2,10
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageMetadata,34,372,39,47,9,84,36,23,1,15
